date,tempmax,tempmin,temp,humidity,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,uvindex,description
2023-08-28,77,57.2,65.6,70.3,12.5,rain,0,0,19.7,7.9,295.2,1026.1,24.3,228.1,8,Partly cloudy throughout the day with rain.
2023-08-29,82.4,55.3,67.9,55.1,0,,0,0,12.8,6.7,86.6,1026.8,0,278.1,9,Clear conditions throughout the day.
2023-08-30,95,53.6,74,44.4,0,,0,0,15,7.6,171.8,1018.9,0,284.7,9,Clear conditions throughout the day.
2023-08-31,95.1,62.4,78.5,26.7,0,,0,0,12.8,6.9,179.2,1015.9,0,285.1,9,Clear conditions throughout the day.
2023-09-01,95.1,60.6,79.8,25.5,0,,0,0,15,12.4,346.9,1017.4,0,234.8,9,Clear conditions throughout the day.
2023-09-02,91.5,67.9,78.7,30.5,4.17,rain,0,0,22.7,13.4,236.4,1020.9,10.5,168.8,8,Clear conditions throughout the day with late afternoon rain.
2023-09-03,87.9,66.3,74.6,42.8,20.83,rain,0,0,27.7,8.9,233.8,1018.9,36.1,139.7,8,Partly cloudy throughout the day with rain.
2023-09-04,85.9,58.9,71.5,44.5,0,,0,0,42.5,26.2,254.9,1010.7,15.1,238.4,9,Clear conditions throughout the day.
2023-09-05,77.1,55.3,66.3,41.6,0,,0,0,25.3,11.1,89.8,1019.7,19.9,266,9,Clear conditions throughout the day.
2023-09-06,86.1,48.3,67.3,47.7,0,,0,0,12.8,7.7,34.7,1021.3,0,265.6,8,Clear conditions throughout the day.
2023-09-07,91.5,55.3,73.4,29.1,0,,0,0,23,15.7,259,1019.8,0,275.7,9,Clear conditions throughout the day.
2023-09-08,89.7,58.9,72.7,26.6,0,,0,0,16.1,7.9,172.9,1023.7,0,269.4,8,Clear conditions throughout the day.
2023-09-09,86,55.3,72.2,25,0,,0,0,17.2,9.8,17.3,1024.7,2,262.1,9,Clear conditions throughout the day.
2023-09-10,64.4,55.5,59.7,79.8,25,rain,0,0,15,11.2,12.2,1026.1,74.6,43.2,2,Partly cloudy throughout the day with rain.
2023-09-11,68.2,53.7,57.8,84.2,33.33,rain,0,0,9.2,9,6.1,1025.8,74,86.1,5,Partly cloudy throughout the day with rain.
2023-09-12,73.5,49.9,60.9,62.1,0,,0,0,12.8,7.9,170,1021.8,5.6,233.6,8,Clear conditions throughout the day.
2023-09-13,80.7,49.9,64.9,44.3,0,,0,0,12.8,7.8,346.7,1017.8,2.1,263.3,8,Clear conditions throughout the day.
2023-09-14,69.9,51.9,58.7,64.6,37.5,rain,0,0,21.2,11.4,36.4,1021.1,51.7,99.1,6,Partly cloudy throughout the day with rain.
2023-09-15,64.5,51.9,57.1,72.9,12.5,rain,0,0,9.2,4.5,199.4,1025.6,72.5,127.5,6,Partly cloudy throughout the day with rain clearing later.
2023-09-16,73.5,46.3,60.8,46.7,0,,0,0,11.4,7.8,232.9,1025.2,0,257.6,8,Clear conditions throughout the day.
2023-09-17,80.7,49.8,66.3,39.5,0,,0,0,11.4,8.9,206.7,1022.2,5.6,253.1,8,Clear conditions throughout the day.
2023-09-18,80.7,58.8,70.4,27.8,0,,0,0,24.2,14.6,261.5,1017.6,7.9,175.1,8,Clear conditions throughout the day.
